2024-10-30 02:00:12.176 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-10-30 02:00:12.176 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-10-30 02:00:12.176 [info] Experiment 'pythonTestAdapter' is active
2024-10-30 02:00:12.176 [warning] Dir "/home/ec2-user/.pixi/envs" is not watchable (directory does not exist)
2024-10-30 02:00:12.176 [info] Default formatter is set to null for workspace /home/ec2-user
2024-10-30 02:00:12.176 [info] Python interpreter path: /bin/python3
2024-10-30 02:00:12.281 [info] > pyenv which python
2024-10-30 02:00:12.281 [info] cwd: .
2024-10-30 02:00:12.442 [info] > pixi --version
2024-10-30 02:00:13.807 [info] Starting Pylance language server.
2024-10-30 02:35:45.033 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/database/db.py
2024-10-30 02:46:10.271 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 02:46:13.362 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 02:46:15.339 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:32.860 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:36.564 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:41.751 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:44.204 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:48.410 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:50.786 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:53.255 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:56.452 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:57.720 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:01:59.701 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:15.449 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:26.118 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:27.782 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:30.698 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:33.684 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:37.595 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:44.109 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:51.430 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:02:54.702 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:03:01.094 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:06:22.697 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:06:27.486 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:06:29.771 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:06:31.830 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
2024-10-30 03:06:35.991 [info] Discover tests for workspace name: ec2-user - uri: /home/ec2-user/server.py
